point 1--> point 1,length is 22
point 1--> point 2,length is 2
point 1--> point 3,length is 15
point 1--> point 4,length is 27
point 1--> point 5,length is 12
point 1--> point 6,length is 25
point 2--> point 1,length is 20
point 2--> point 2,length is 19
point 2--> point 3,length is 35
point 2--> point 4,length is 25
point 2--> point 5,length is 10
point 2--> point 6,length is 30
point 3--> point 1,length is 24
point 3--> point 2,length is 4
point 3--> point 3,length is 35
point 3--> point 4,length is 14
point 3--> point 5,length is 14
point 3--> point 6,length is 10
point 4--> point 1,length is MAX_LENGTH
point 4--> point 2,length is MAX_LENGTH
point 4--> point 3,length is MAX_LENGTH
point 4--> point 4,length is MAX_LENGTH
point 4--> point 5,length is MAX_LENGTH
point 4--> point 6,length is MAX_LENGTH
point 5--> point 1,length is MAX_LENGTH
point 5--> point 2,length is MAX_LENGTH
point 5--> point 3,length is MAX_LENGTH
point 5--> point 4,length is 15
point 5--> point 5,length is MAX_LENGTH
point 5--> point 6,length is MAX_LENGTH
point 6--> point 1,length is MAX_LENGTH
point 6--> point 2,length is MAX_LENGTH
point 6--> point 3,length is MAX_LENGTH
point 6--> point 4,length is 4
point 6--> point 5,length is 10
point 6--> point 6,length is MAX_LENGTH
